Manufacturer,Model,Part Number,Comments,Interfaces,Console Ports,Power Ports,Device Bays
QNAP,TS-459pro+,TS-459pro+,[TS-459pro+ Series Datasheet](https://www.qnap.com/en/product/ts-459%20pro+/specs/hardware),"Ethernet 1, Ethernet 2",,PSU 1,
QNAP,TS-h1277AXU-RP,,[QNAP TS-h1277AXU-RP](https://www.qnap.com/en/product/ts-h1277axu-rp),"2.5GE-1, 2.5GE-2, 10GE-1, 10GE-2",,,
QNAP,TS-653 Pro,TS-653-Pro,,"eth0, eth1, eth2, eth3",,PSU 1,
QNAP,TS-212,TS-212,[TS-212 | Hardware Specs | QNAP](https://www.qnap.com/en/product/ts-212/specs/hardware),eth0,,Power,
QNAP,TS-253A,TS-253A,[TS-253A | Hardware Specs | QNAP](https://www.qnap.com/de-de/product/ts-253a/specs/hardware),"eth0, eth1",,Power,
QNAP,TS-879U-RP,TS-879U-RP,[TS-879U-RP product page](https://www.qnap.com/en/product/ts-879u-rp),"Adapter 1, Adapter 2, Adapter 3, Adapter 4",,,
QNAP,TS-431KX,TS-431KX,[TS-431KX | Hardware Specs | QNAP](https://www.qnap.com/en/product/ts-431kx/specs/hardware),"eth0, eth1, eth2",,Power,
QNAP,TS-453mini,TS-453mini,[TS-453mini | Hardware Specs | QNAP](https://www.qnap.com/en/product/ts-453mini/specs/hardware),"eth0, eth1",,Power,
QNAP,TS-431XeU,TS-431XeU,[TS-431XeU Series Datasheet](https://www.qnap.com/en/product/ts-431xeu/specs/hardware),"Adapter 1, Adapter 2, Adapter 3",,PSU 1,
QNAP,TS-231P2,TS-231P2,[TS-231P2 | Hardware Specs | QNAP](https://www.qnap.com/de-de/product/ts-231p2/specs/hardware),"eth0, eth1",,Power,
QNAP,TS-873,TS-873,[TS-873 | Hardware Specs | QNAP](https://www.qnap.com/en-me/product/ts-873/specs/hardware),"eth0, eth1, eth2, eth3",,PSU,
QNAP,TS-469L,TS-469L,[TS-469L | Hardware Specs | QNAP](https://www.qnap.com/en-me/product/ts-469l/specs/hardware),"eth0, eth1",,PSU,
QNAP,TS-1683XU-RP,TS-1683XU-RP,[TS-1683XU-RP | Hardware Specs | QNAP](https://qnap.ru/ts-1683xu-rp),"eth0, eth1, eth2, eth3, eth4, eth5",,"PSU 1, PSU 2",
QNAP,TS-453B,TS-453B,[TS-453B | Hardware Specs | QNAP](https://www.qnap.com/en/product/ts-453b/specs/hardware),"eth0, eth1",,Power,
QNAP,TS-463U-RP,TS-463U-RP,[TS-463U-RP | Hardware Specs | QNAP](https://www.qnap.com/en-uk/product/ts-463u-rp/specs/hardware),"eth0, eth1, eth2, eth3, eth4",,,
QNAP,TS-h1886XU-RP,TS-h1886XU-RP,[TS-h1886XU-RP | Hardware Specs | QNAP](https://qnap.ru/ts-h1886xu-rp),"eth0, eth1, eth2, eth3, eth4, eth5",,"PSU 1, PSU 2",
QNAP,TS-431U,TS-431U,[TS-431U | Hardware Specs | QNAP](https://www.qnap.com/de-de/product/ts-431u/specs/hardware),"eth0, eth1",,Power,
QNAP,TS-453U-RP,TS-453U-RP,[TS-453U-RP | Hardware Specs | QNAP](https://www.qnap.com/en/product/ts-453u-rp/specs/hardware),"eth0, eth1, eth2, eth3",,"PSU1, PSU2",
QNAP,TS-879 Pro,TS-879-pro,[TS-879 Pro | Hardware Specs | QNAP](https://www.qnap.com/en-me/product/ts-879%20pro/specs/hardware),"eth0, eth1",,PSU,
Ubiquiti,UniFi Switch Pro Max 24,USW-Pro-Max-24,"UniFi Switch 24 Pro Max (non-PoE) with total non-blocking throughput of 56 Gbps. Features (16) Gigabit Ethernet ports, (8) 1/2.5GbE ports, and (2) 10G SFP+ uplink ports.

Dimensions: 442 x 325 x 44 mm (17.4 x 12.8 x 1.7"")
[UniFi Switch Pro Max 24 Techspecs](https://techspecs.ui.com/unifi/switching/usw-pro-max-24)
","Port 1, Port 2, Port 3, Port 4, Port 5, Port 6, Port 7, Port 8, Port 9, Port 10, Port 11, Port 12, Port 13, Port 14, Port 15, Port 16, Port 17, Port 18, Port 19, Port 20, Port 21, Port 22, Port 23, Port 24, SFP+ 25, SFP+ 26",,"AC Input, USP-RPS connector for PSU failover",
Ubiquiti,EdgeSwitch 48 Lite,ES-48-LITE,[EdgeSwitch Lite](https://www.ui.com/edgemax/edgeswitch-lite/),"interface 0/1, interface 0/2, interface 0/3, interface 0/4, interface 0/5, interface 0/6, interface 0/7, interface 0/8, interface 0/9, interface 0/10, interface 0/11, interface 0/12, interface 0/13, interface 0/14, interface 0/15, interface 0/16, interface 0/17, interface 0/18, interface 0/19, interface 0/20, interface 0/21, interface 0/22, interface 0/23, interface 0/24, interface 0/25, interface 0/26, interface 0/27, interface 0/28, interface 0/29, interface 0/30, interface 0/31, interface 0/32, interface 0/33, interface 0/34, interface 0/35, interface 0/36, interface 0/37, interface 0/38, interface 0/39, interface 0/40, interface 0/41, interface 0/42, interface 0/43, interface 0/44, interface 0/45, interface 0/46, interface 0/47, interface 0/48, interface 0/49, interface 0/50, interface 0/51, interface 0/52",Console,Power,
Ubiquiti,UniFi Switch Flex XG,USW-Flex-XG,"135 x 185 x 32 mm (5.31 x 7.28 x 1.27"")
","Port 1 (PoE IN), Port 2, Port 3, Port 4, Port 5",,,
Ubiquiti,UniFi Security Gateway Pro,USG-PRO-4,"UniFi Security Gateway Pro, (2) Gigabit LAN, (2) 1 Gbps RJ45/SFP Combination WAN Ports*

Dimensions: 484 x 44 x 164 mm (19.06 x 1.73 x 6.46"")

(*, see datasheet) The USG-PRO-4 WAN port, as a result of being a combination SFP/GigE port, is a pure 1Gbps port - it is incapable of both 10Mbps and 100Mbps FDX/HDX settings
","LAN 1, LAN 2, WAN 1, WAN 2, SFP 1, SFP 2",Console,Supply,
Ubiquiti,UniFi Gateway Pro,UXG-Pro,[UniFi Gateway Pro](https://dl.ui.com/ds/uxg-pro_ds.pdf),"WAN 1, Lan 1, WAN 2, Lan 2",,Supply,
Ubiquiti,EdgeSwitch 48 750W,ES-48-750W,[EdgeSwitch](https://www.ui.com/edgemax/edgeswitch/),"interface 0/1, interface 0/2, interface 0/3, interface 0/4, interface 0/5, interface 0/6, interface 0/7, interface 0/8, interface 0/9, interface 0/10, interface 0/11, interface 0/12, interface 0/13, interface 0/14, interface 0/15, interface 0/16, interface 0/17, interface 0/18, interface 0/19, interface 0/20, interface 0/21, interface 0/22, interface 0/23, interface 0/24, interface 0/25, interface 0/26, interface 0/27, interface 0/28, interface 0/29, interface 0/30, interface 0/31, interface 0/32, interface 0/33, interface 0/34, interface 0/35, interface 0/36, interface 0/37, interface 0/38, interface 0/39, interface 0/40, interface 0/41, interface 0/42, interface 0/43, interface 0/44, interface 0/45, interface 0/46, interface 0/47, interface 0/48, interface 0/49, interface 0/50, interface 0/51, interface 0/52",Console,Power,
Ubiquiti,Enterprise Network Video Recorder,ENVR,"Enterprise-grade 4U NVR with 16 bays for high-capacity video storage.

Dimensions: 481.4 x 480 x 132 mm (19 x 18.9 x 5.2"")
Weight: 36.6 lb
Certifications: FCC, CE, IC

[Enterprise Network Video Recorder Techspecs](https://techspecs.ui.com/unifi/cameras-nvrs/envr)
","LAN 1, SFP+ 1, SFP+ 2",,,
Ubiquiti,EdgeRouter 4,ER-4,[EdgeRouter 4](https://dl.ubnt.com/datasheets/edgemax/EdgeRouter_DS.pdf),"eth0, eth1, eth2, eth3",Console,AC,
Ubiquiti,Unifi Switch Pro XG 8 PoE,USW-Pro-XG-8-PoE,"UniFi Switch Pro XG 8PoE, 10G 8-Port Switch with 802.3bt PoE++, (60W w/o PoE) External VDC PSU (8) 1/10 Gigabit 60W PoE++ IEEE 802.3bt, (2) SFP+

Dimensions: 210.4 x 173.8 x 43.7 mm (8.28 x 6.84 x 1.7"")
","Port 1 (PoE++), Port 2 (PoE++), Port 3 (PoE++), Port 4 (PoE++), Port 5 (PoE++), Port 6 (PoE++), Port 7 (PoE++), Port 8 (PoE++), SFP+ 1, SFP+ 2",,DC Input,
Ubiquiti,UniFi Switch Pro Max 48,USW-Pro-Max-48,"UniFi Switch 48 Pro Max (non-PoE) with total non-blocking throughput of 112 Gbps. Features (32) Gigabit Ethernet ports, (16) 1/2.5GbE ports, and (4) 10G SFP+ uplink ports.

Dimensions: 442 x 325 x 44 mm (17.4 x 12.8 x 1.7"")
[UniFi Switch Pro Max 48 Techspecs](https://techspecs.ui.com/unifi/switching/usw-pro-max-48)
","Port 1, Port 2, Port 3, Port 4, Port 5, Port 6, Port 7, Port 8, Port 9, Port 10, Port 11, Port 12, Port 13, Port 14, Port 15, Port 16, Port 17, Port 18, Port 19, Port 20, Port 21, Port 22, Port 23, Port 24, Port 25, Port 26, Port 27, Port 28, Port 29, Port 30, Port 31, Port 32, Port 33, Port 34, Port 35, Port 36, Port 37, Port 38, Port 39, Port 40, Port 41, Port 42, Port 43, Port 44, Port 45, Port 46, Port 47, Port 48, SFP+ 49, SFP+ 50, SFP+ 51, SFP+ 52",,"AC Input, USP-RPS connector for PSU failover",
Ubiquiti,U7 Lite,U7-Lite,"[Access Point U7 Lite](https://store.ui.com/us/en/category/wifi-flagship/products/u7-lite)
","Port 1, Wlan 0, Wlan 1, Wlan 3, Wlan 4",,,
Ubiquiti,PoE 48,POE-48-24W-G,"92 x 60 x 33 mm (3.6 x 2.4 x 1.3"")
https://eu.store.ui.com/eu/en/products/poe-48
","Port 1 (LAN), Port 2 (POE)",,Power Input,
Ubiquiti,airCube-AC,aircube-ac,"24VDC, 0.83A or PoE 24V In on LAN Port 1

Controllable 24V PoE Out (+4, 5; -7, 8) on WAN Port
","lan1, lan2, lan3, wan1, wlan0, wlan1",,Power,
Ubiquiti,PowerBeam M2 400,PBE-M2-400,,"lan0, wlan0",,,
Ubiquiti,UniFi Switch Flex,USW-Flex,"122.5 x 107.1 x 28.0 mm (4.82 x 4.22 x 1.10"")
","Port 1 (PoE++ IN), Port 2 (PoE+), Port 3 (PoE+), Port 4 (PoE+), Port 5 (PoE+)",,,
Ubiquiti,NanoBeam 5AC 19,NBE-5AC-19,,"eth0, wlan0",,,
Ubiquiti,U6 Lite,U6-Lite,"[UniFi 6 Lite Access Point](https://store.ui.com/products/unifi-ap-6-lite)
","lan0, wlan0, wlan1",,,
Ubiquiti,E7,E7,"High-performance WiFi 7 access point with dual PoE support for high availability, dedicated spectral analyzer, and tri-band connectivity for 2.4 GHz, 5 GHz, and 6 GHz.
Dimensions: 9.8 x 9.8 x 1.7 in
Weight: 4 lb
Certifications: CE, FCC, IC
[UniFi E7 Techspecs](https://techspecs.ui.com/unifi/wifi/e7)
","Port 1, Port 2, WLAN 0, WLAN 1, WLAN 2, Spectrum Radio",,,
Ubiquiti,UniFi Switch 48 Gen1,US-48,"UniFi Switch 48 Gen1, non-PoE, (48) Gigabit, (2) SFP+, (2) SFP

Dimensions: 443 x 43 x 286 mm (17.44 x 1.69 x 11.26"")
","Port 1, Port 2, Port 3, Port 4, Port 5, Port 6, Port 7, Port 8, Port 9, Port 10, Port 11, Port 12, Port 13, Port 14, Port 15, Port 16, Port 17, Port 18, Port 19, Port 20, Port 21, Port 22, Port 23, Port 24, Port 25, Port 26, Port 27, Port 28, Port 29, Port 30, Port 31, Port 32, Port 33, Port 34, Port 35, Port 36, Port 37, Port 38, Port 39, Port 40, Port 41, Port 42, Port 43, Port 44, Port 45, Port 46, Port 47, Port 48, SFP+ 1, SFP+ 2, SFP 1, SFP 2",Console,Input,
Ubiquiti,U6 Enterprise,U6-Enterprise,"[U6 Access Point Enterprise](https://store.ui.com/products/u6-enterprise)
","eth0, wlan0, wlan1, wlan2",,,
Ubiquiti,UniFi Gateway Max,UXG-Max,[UniFi Gateway Max](https://techspecs.ui.com/unifi/advanced-hosting/uxg-max),"WAN 1, Lan 1, Lan 2, Lan 3, Lan 4",,Supply,
Ubiquiti,Rocket M5,Rocket M5,,"lan0, wlan0",,,
Ubiquiti,Unifi G3 Bullet,UVC-G3-Bullet,"Varifocal Full HD (1080p) bullet camera with infrared LEDs. Outdoor Weather Resistant.
""[G3 Family Datasheet](https://dl.ubnt.com/datasheets/unifi/UniFi_Video_G3_DS.pdf)""
",eth0,,,
Ubiquiti,AC Mesh Professional,UAP-AC-M-PRO,"[Access Point AC Mesh Pro](https://store.ui.com/collections/wireless/products/unifi-ac-mesh-pro-ap)
","eth0, eth1, wlan0, wlan1",,,
Ubiquiti,U6 In-Wall,U6-IW,"[Access Point U6 In-Wall](https://store.ui.com/products/access-point-wifi-6-in-wall)
","eth0, eth1, eth2, eth3, eth4, wlan0, wlan1, wlan2",,,
Ubiquiti,EdgeSwitch 48 500W,ES-48-500W,[EdgeSwitch](https://www.ui.com/edgemax/edgeswitch/),"interface 0/1, interface 0/2, interface 0/3, interface 0/4, interface 0/5, interface 0/6, interface 0/7, interface 0/8, interface 0/9, interface 0/10, interface 0/11, interface 0/12, interface 0/13, interface 0/14, interface 0/15, interface 0/16, interface 0/17, interface 0/18, interface 0/19, interface 0/20, interface 0/21, interface 0/22, interface 0/23, interface 0/24, interface 0/25, interface 0/26, interface 0/27, interface 0/28, interface 0/29, interface 0/30, interface 0/31, interface 0/32, interface 0/33, interface 0/34, interface 0/35, interface 0/36, interface 0/37, interface 0/38, interface 0/39, interface 0/40, interface 0/41, interface 0/42, interface 0/43, interface 0/44, interface 0/45, interface 0/46, interface 0/47, interface 0/48, interface 0/49, interface 0/50, interface 0/51, interface 0/52",Console,Power,
Ubiquiti,Power Distribution Pro,USP-PDU-Pro,"[Power Distribution Pro](https://store.ui.com/products/usp-pdu-pro)

2U rack-mounted power distribution unit with (16) controllable power outlets, (4) USB-C ports, and (4) Ethernet ports for monitoring and control.

Dimensions: 442.4 x 87.4 x 106 mm (17.4 x 3.4 x 4.2"")
","Port 21, Port 22, Port 23, Port 24",,Input,
Ubiquiti,UISP Router,UISP-R,[UISP Router](https://store.ui.com/collections/operator-isp-infrastructure/products/uisp-router),"eth0, eth1, eth2, eth3, eth4, eth5, eth6, eth7, eth8",,Input 27V,
Ubiquiti,airFiber 60,AF-60,"ubond0 is setup to use ieee802.11ax as LTE currently doesn't allow wireless
parameters to be specified despite the fact that the airFiber is a LTE-U
device.

The eth0 and ubond0 are permanently bridged as this is a L2 bridge device.
","br0, eth0, ubond0",,,
Ubiquiti,UniFi AP-PRO,UAP-Pro,,"eth0, wlan0, wlan1",,,
Ubiquiti,EdgeRouter Pro,ERPro-8,[EdgeRouter Pro](https://dl.ubnt.com/datasheets/edgemax/EdgeRouter_DS.pdf),"eth0, eth1, eth2, eth3, eth4, eth5, eth6, eth7",Console,PS,
Ubiquiti,PowerBeam 5AC 300,PBE-5AC-300,[PowerBeam AC](https://www.ui.com/airmax/powerbeam-ac/),"lan0, wlan0",,,
Ubiquiti,EdgePoint Router 6-Port,EP-R6,[EdgePoint Router 6-Port](https://www.ui.com/downloads/datasheets/edgemax/EdgePoint_DS.pdf),"eth0, eth1, eth2, eth3, eth4, eth5, switch0",,24VDC,
Ubiquiti,Access Point,UAP,"[Datasheet](https://www.wimoodshop.nl/downloads/54_UniFi_AP_Datasheet.pdf)
","lan0, wlan0",,,
Ubiquiti,Rocket 2AC Prism,R2AC-PRISM,,"lan0, wlan0",,,
Ubiquiti,EdgePoint EP-S16,EP-S16,[EdgePoint S16](https://techspecs.ui.com/uisp/wired/ep-s16#datasheet),"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",,Power,
Ubiquiti,Cloud Key Gen2 Plus,uck-g2-plus,"Unifi Cloud Key Generation 2 Plus

PoE in 24V or USB-type C Power
",eth0,console,power1,
Ubiquiti,AC Lite,UAP-AC-LITE,[AC Lite](https://www.ui.com/unifi/unifi-ap-ac-lite/),"lan0, wlan0, wlan1",,,
Ubiquiti,UniFi Switch 48 PoE 750W Gen1,US-48-750W,"UniFi Switch 48 PoE 750W (64W + max. 686W PoE) Gen1, (48) Gigabit PoE+ IEEE 802.3af/at and 24V Passive PoE, (2) SFP+, (2) SFP

Dimensions: 485 x 43.7 x 374.6 mm (19.09 x 1.72 x 14.75"")
","Port 1 (PoE), Port 2 (PoE), Port 3 (PoE), Port 4 (PoE), Port 5 (PoE), Port 6 (PoE), Port 7 (PoE), Port 8 (PoE), Port 9 (PoE), Port 10 (PoE), Port 11 (PoE), Port 12 (PoE), Port 13 (PoE), Port 14 (PoE), Port 15 (PoE), Port 16 (PoE), Port 17 (PoE), Port 18 (PoE), Port 19 (PoE), Port 20 (PoE), Port 21 (PoE), Port 22 (PoE), Port 23 (PoE), Port 24 (PoE), Port 25 (PoE), Port 26 (PoE), Port 27 (PoE), Port 28 (PoE), Port 29 (PoE), Port 30 (PoE), Port 31 (PoE), Port 32 (PoE), Port 33 (PoE), Port 34 (PoE), Port 35 (PoE), Port 36 (PoE), Port 37 (PoE), Port 38 (PoE), Port 39 (PoE), Port 40 (PoE), Port 41 (PoE), Port 42 (PoE), Port 43 (PoE), Port 44 (PoE), Port 45 (PoE), Port 46 (PoE), Port 47 (PoE), Port 48 (PoE), SFP+ 1, SFP+ 2, SFP 1, SFP 2",Console,Input,
Ubiquiti,U6+,U6+,"[UniFi 6+ Access Point](https://store.ui.com/us/en/products/u6-plus)
","lan0, wlan0, wlan1",,,
Ubiquiti,NanoStation m5,nanostation m5,,"eth0, eth1, wlan0",,,
Ubiquiti,UniFi Switch 8 PoE 60W Gen1,US-8-60W,"UniFi Switch 8 PoE 60W (12.4W + PoE), Gen1, Desk/WallMount, External VDC PSU, (8) Gigabit, (5-8) Gigabit PoE: IEEE802.3a

Dimensions: 148.0 x 99.5 x 30.7 mm (5.83 x 3.92 x 1.21"")
","Port 1, Port 2, Port 3, Port 4, Port 5 (PoE), Port 6 (PoE), Port 7 (PoE), Port 8 (PoE)",,Input,
Ubiquiti,U6 Mesh,U6-Mesh,"[Access Point U6 Mesh](https://store.ui.com/collections/unifi-network-wireless/products/access-point-wifi-6-mesh)
","eth0, wlan0, wlan1",,,
Ubiquiti,Rocket M2,Rocket M2,,"lan0, wlan0",,,
Ubiquiti,UniFi Switch Flex Mini,USW-Flex-Mini,"107.16 x 70.15 x 21.17 mm (4.22 x 2.76 x 0.83"")
","Port 1 (PoE IN), Port 2, Port 3, Port 4, Port 5",,,
Ubiquiti,Unifi G5 Flex,UVC-G5-Flex,[G5 Flex](https://techspecs.ui.com/unifi/cameras-nvrs/uvc-g5-flex),eth0,,,
Ubiquiti,UniFi Switch 8 Gen1,US-8,"UniFi Switch 8 non-PoE, Gen1, Desk/WallMount, External VDC PSU, (8) Gigabit, (1/8) Gigabit PoE Passthrough Port: 802.3af/at or 48V

Dimensions: 148.0 x 99.5 x 30.7 mm (5.83 x 3.92 x 1.21"")
","Port 1 (PoE in), Port 2, Port 3, Port 4, Port 5, Port 6, Port 7, Port 8 (PoE out)",,Input,
Ubiquiti,PicoStation M2,picostation m2,,"eth0, wlan0",,,
Ubiquiti,UniFi Switch 48 Pro PoE Gen2,USW-PRO-48-POE,"UniFi Switch 48 Pro PoE (60W + max. 600W PoE), Gen2, (48) Gigabit, (1-40) Gigabit PoE+ IEEE 802.3af/at, (41-48) 60W PoE++ IEEE 802.3bt, (4) SFP+

Dimensions: 442.4 x 399.6 x 43.7 mm (17.42 x 15.73 x 1.72"")
[Switch Switch 48 Pro PoE Techspecs](https://techspecs.ui.com/unifi/switching/usw-pro-48-poe)
","Port 1, Port 2, Port 3, Port 4, Port 5, Port 6, Port 7, Port 8, Port 9, Port 10, Port 11, Port 12, Port 13, Port 14, Port 15, Port 16, Port 17, Port 18, Port 19, Port 20, Port 21, Port 22, Port 23, Port 24, Port 25, Port 26, Port 27, Port 28, Port 29, Port 30, Port 31, Port 32, Port 33, Port 34, Port 35, Port 36, Port 37, Port 38, Port 39, Port 40, Port 41, Port 42, Port 43, Port 44, Port 45, Port 46, Port 47, Port 48, SFP+ 49, SFP+ 50, SFP+ 51, SFP+ 52",,"Input, USP-RPS connector for PSU failover",
